"Track","Artists","Genres"
"Feline (with Polo G & Trippie Redd)","Juice WRLD;Polo G;Trippie Redd","melodic rap;emo rap"
"Please Tell Me","Future","rap"
"Way Up","YG Rob;7 FN",""
"One Day","LMFAO",""
"WAIT FOR U (feat. Drake & Tems)","Future;Drake;Tems","rap;hip hop;afrobeats;alté;afrobeat"
"BUTTERFLY EFFECT","Travis Scott","rap"
"Make It Rain (feat. Rowdy Rebel)","Pop Smoke;Rowdy Rebel","brooklyn drill;drill;new york drill"
"I Like Girls (feat. Lil Skies)","PnB Rock;Lil Skies","melodic rap"
"Quintana Pt. 2","Travis Scott","rap"
"Myself","NAV","melodic rap"
"Off the Wall","Michael Jackson",""
"I'm Sprung","T-Pain",""
"Musty","Shoreline Mafia",""
"Feel No Ways","Drake","rap;hip hop"
"Teenage Fever","Drake","rap;hip hop"
"Be Real (feat. DeJ Loaf)","Kid Ink;DeJ Loaf",""
"White Girl","Shy Glizzy",""
"Work","Shoreline Mafia;OHGEESY;Fenix Flexin",""
"Erase Your Social","Lil Uzi Vert","melodic rap"
"Un Coco","Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Massive","Drake","rap;hip hop"
"To Da Neck","1takejay","hyphy"
"Rockstar In His Prime","Juice WRLD","melodic rap;emo rap"
"Pain","PinkPantheress","bedroom pop"
"Talk to Me You'll Understand","Ross from Friends","lo-fi house"
"Boten Anna - Radio edit","Basshunter","eurodance;europop"
"Rotisserie","Yung Gravy;bbno$","meme rap"
"Intro","Pimp Tobi","hyphy"
"No Long Talk","Drake;Giggs","rap;hip hop;grime"
"Gospel","Rich Brian;Keith Ape;XXXTENTACION","k-rap;emo rap"
"LA CANCIÓN","J Balvin;Bad Bunny","reggaeton;latin;trap latino;urbano latino"
"LOT OF ME","Lil Tecca","melodic rap;rap"
"Titanium","Dave","grime;uk drill;drill"
"Efecto","Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Down Under","Men At Work",""
"Fuck Love","XXXTENTACION;Trippie Redd","emo rap;melodic rap"
"Kid Cudi - Remix","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"Fashion Killa","A$AP Rocky","rap"
"Sundress","A$AP Rocky","rap"
"Champions","Kanye West;Gucci Mane;Big Sean;2 Chainz;Travis Scott;Yo Gotti;Quavo;Desiigner","rap;southern hip hop;trap;memphis rap"
"Champagne Showers","LMFAO;Natalia Kills",""
"Lifestyle","Rich Gang;Young Thug;Rich Homie Quan","rap;melodic rap;trap;southern hip hop"
"Neverita","Bad Bunny","reggaeton;trap latino;urbano latino;latin"
"Say Yeah","Wiz Khalifa","rap"
"Bitchuary","Shordie Shordie",""
"Aries (YuGo) (feat. Pharrell & Station Wagon P)","Mike WiLL Made-It;Pharrell Williams;Station Wagon P",""
"Kelly Price (feat. Travis Scott)","Migos;Travis Scott","trap;rap"
"Bank Account","21 Savage",""
"Rhythm Is a Dancer - 7"" Edit","SNAP!","eurodance"
"2z Don Corleon","Lil 2z",""
"Signs","Drake","rap;hip hop"
"Pressure (feat. OhGeesy & Fenix Flexin)","Shoreline Mafia;Fenix Flexin;OHGEESY",""
"I Wonder","Kanye West","rap"
"Russian Cream","Key Glock","memphis rap"
"From The D To The A (feat. Lil Yachty)","Tee Grizzley;Lil Yachty",""
"Trap Queen","Fetty Wap",""
"Lady - Hear Me Tonight","Modjo","french house;disco house"
"Cocoon","Migos","trap"
"infinity (888) - feat. Joey Bada$$","XXXTENTACION;Joey Bada$$","emo rap;hip hop;rap"
"Let Go","Aaron May",""
"Been Like This","Meghan Trainor;T-Pain",""
"Bugatti","Ace Hood;Future;Rick Ross","rap;southern hip hop"
"Team","Xavier Weeks","melodic rap"
"UKA UKA","Trippie Redd","melodic rap"
"Indica Badu","Logic;Wiz Khalifa","rap"
"Moovin' and Groovin'","Duane Eddy","surf rock;doo-wop;rockabilly"
"Симпа","RaiM;Артур;Adil",""
"Dubai Vibez","2Scratch",""
"Wanted You (feat. Lil Uzi Vert)","NAV;Lil Uzi Vert","melodic rap"
"LOKERA","Rauw Alejandro;Lyanno;Brray","reggaeton;urbano latino;trap latino;latin"
"He's a Pirate","Klaus Badelt","soundtrack"
"деньги и счастье","Rauf & Faik",""
"KMT","Drake;Giggs","rap;hip hop;grime"
"Talk To Me","Drakeo the Ruler;Drake","west coast hip hop;rap;hip hop"
"Déjà vu - Play & Win Radio Edit","INNA;Bob Taylor","europop;rockabilly;exotica"
"Love Me","Lil Tecca","melodic rap;rap"
"UNLIMITED (FT PLAYBOI CARTI)","NAV;Playboi Carti","melodic rap;rage rap"
"Remember the Time","Michael Jackson",""
"Miss You - Sped Up Version","Oliver Tree;sped up nightcore","nightcore"
"Why This Kolaveri Di? - The Soup of Love","Anirudh Ravichander;Dhanush","tamil pop;kollywood;tamil dance;tollywood;tamil hip hop;telugu pop"
"2 Vaults (feat. Lil Yachty)","Tee Grizzley;Lil Yachty",""
"Crew REMIX (feat. Gucci Mane, Brent Faiyaz & Shy Glizzy)","GoldLink;Gucci Mane;Brent Faiyaz;Shy Glizzy","southern hip hop;rap;trap;r&b"
"Habibi Albi","Faydee;Leftside","dancehall;moombahton;shatta;ragga"
"Purple Baguettes","88GLAM","melodic rap"
"BabyWipe","Ski Mask The Slump God",""
"Haringey Borough","OTP;BM;SAVA;Mini","uk drill;drill"
"La Vida Es Un Carnaval","Celia Cruz","salsa;son cubano;bolero;cha cha cha;merengue;mambo;latin;latin dance"
"Every Breath You Take","The Police",""
"COULD BE WRONG","LOSTBOYJAY","rally house;house"
"Gang Shit No Lame Shit","Key Glock","memphis rap"
"Lord Pretty Flacko Jodye 2 (LPFJ2)","A$AP Rocky","rap"
"Long Time - Intro","Playboi Carti","rage rap"
"Tek It","Cafuné",""
"Maneater","Daryl Hall & John Oates","soft rock"
"Rock with You - Single Version","Michael Jackson",""
"Musty Freestyle","Drakeo the Ruler;OHGEESY","west coast hip hop"
"Coco Chanel","Eladio Carrion;Bad Bunny","trap latino;urbano latino;trap;reggaeton;latin"
"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke;Lil Baby;DaBaby","brooklyn drill;drill;new york drill"
"16","Baby Keem",""
"Ransom (with Juice WRLD) - Remix","Lil Tecca;Juice WRLD","melodic rap;rap;emo rap"
"The Way I Are","Timbaland;Keri Hilson;D.O.E.",""
"Alpha","Guapdad 4000",""
"Poles 1469","Trippie Redd;6ix9ine","melodic rap"
"Void","Pouya","dark trap;horrorcore;underground hip hop;emo rap;cloud rap"
"HIGHEST IN THE ROOM","Travis Scott","rap"
"They Don’t Know","OHGEESY",""
"Sodium","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"GOTTI","6ix9ine",""
"Interlude","NAV","melodic rap"
"La Corriente","Bad Bunny;Tony Dize","reggaeton;trap latino;urbano latino;latin"
"love nwantiti (feat. ElGrande Toto) - North African Remix","CKay;ElGrandeToto","afrobeats;afrobeat;afropop;moroccan rap;arabic rap;moroccan pop"
"Transportin'","Kodak Black",""
"Day in the Life","Central Cee","uk drill;drill;grime"
"6 For 6","Central Cee","uk drill;drill;grime"
"All Of The Lights","Kanye West","rap"
"No Promises","A Boogie Wit da Hoodie","melodic rap"
"Thunder Man","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"Impreza","Sobel",""
"Creme","Jack Harlow",""
"Smash","Nebezao",""
"She A Freak (feat. Ohgeesy & 03 Greedo)","ManMan Savage;OHGEESY;03 Greedo",""
"Walking On A Dream","Empire Of The Sun",""
"BANG!","Trippie Redd","melodic rap"
"Call On Me - Radio Edit","Eric Prydz",""
"AMBUSH","OFB;Bandokay","uk drill;drill;grime"
"Bird Shit","Trippie Redd","melodic rap"
"Big Fish","Vince Staples",""
"X (feat. Future)","21 Savage;Metro Boomin;Future","rap"
"Knock It Off","GoodFinesse;Fenix Flexin;Desto Dubb",""
"She Will","Lil Wayne;Drake","rap;hip hop"
"Today (feat. Gunna)","Cordae;Gunna","melodic rap"
"Don't You Worry Child - Radio Edit","Swedish House Mafia;John Martin","edm"
"Smack That","Akon;Eminem","rap;hip hop"
"Minute","NAV;Metro Boomin;Playboi Carti;Offset","melodic rap;rage rap"
"one of wun","Gunna","melodic rap"
"ORANGE SODA","Baby Keem",""
"Lovers Rock","TV Girl",""
"Like Me (feat. iann dior)","$NOT;iann dior","melodic rap"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby;Gunna","melodic rap"
"PUFFIN ON ZOOTIEZ","Future","rap"
"Love Divide","Ross from Friends","lo-fi house"
"Oh My Dis Side (feat. Quavo)","Travis Scott;Quavo","rap"
"Won't Be Late (feat. Drake)","Swae Lee;Drake","rap;hip hop"
"RampartRange","BONES","dark trap;cloud rap;emo rap;horrorcore;underground hip hop;punk rap"
"Rack City","Tyga",""
"Akina Speed Star","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"What Is Love - 7"" Mix","Haddaway","eurodance"
"CRUSH (with Travis Scott)","Playboi Carti;Travis Scott","rage rap;rap"
"Psycho Pass","Xavier Wulf","cloud rap;dark trap;underground hip hop;memphis rap;emo rap"
"Wish","Diplo;Trippie Redd","moombahton;melodic rap"
"Hookah","Tyga;Young Thug","rap;melodic rap;trap"
"A$AP Ferg","NAV;Metro Boomin;Lil Uzi Vert","melodic rap"
