"Track","Artists","Genres"
"Two®","Lil Uzi Vert","melodic rap"
"Feel It","d4vd",""
"Teen Bean","Ken Carson","rage rap"
"Solo","Future","rap"
"Breathe","Yeat","rage rap"
"Big Dawgs","Hanumankind;Kalmi","malayalam hip hop;desi hip hop"
"On That Time","Playboi Carti","rage rap"
"EVIL J0RDAN","Playboi Carti","rage rap"
"loading","Ken Carson","rage rap"
"Do What I Want","Lil Uzi Vert","melodic rap"
"Crazy","Bazzi",""
"COCAINE NOSE","Playboi Carti","rage rap"
"POP","Lil Uzi Vert","melodic rap"
"sweet sweet","Travis Scott","rap"
"Choppa Won't Miss (feat. Young Thug)","Playboi Carti;Young Thug","rage rap;rap;melodic rap;trap"
"Count Me Out","Kendrick Lamar","hip hop;west coast hip hop"
"LOYAL (feat. Drake)","PARTYNEXTDOOR;Drake","r&b;rap;hip hop"
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator;Teezo Touchdown",""
"Love Me","Lil Wayne;Drake;Future","rap;hip hop"
"POP OUT","Playboi Carti","rage rap"
"20 Min","Lil Uzi Vert","melodic rap"
"Pursuit Of Happiness (Nightmare)","Kid Cudi;MGMT;Ratatat","indie;electronic rock"
"M3tamorphosis (feat. Kid Cudi)","Playboi Carti;Kid Cudi","rage rap"
"Lemonade (feat. NAV)","Internet Money;Gunna;Don Toliver;NAV","melodic rap"
"Of Course (Bonus Track)","Lil Uzi Vert","melodic rap"
"DIS 1 GOT IT","Playboi Carti","rage rap"
"JUMPIN (with Lil Uzi Vert)","Playboi Carti;Lil Uzi Vert","rage rap;melodic rap"
"Not PLaying","Playboi Carti","rage rap"
"PHILLY (with Travis Scott)","Playboi Carti;Travis Scott","rage rap;rap"
"LIKE WEEZY","Playboi Carti","rage rap"
"Nightcore","Ken Carson","rage rap"
"drive ME crazy!","Lil Yachty",""
"All Of The Lights","Kanye West","rap"
"Young & Alive","Bazzi",""
"mexico","citimall","indian indie;hindi indie;desi hip hop;hindi hip hop"
"Rah Tah Tah","Tyler, The Creator",""
"GEEK TIMË","Yeat","rage rap"
"pick up the phone","Young Thug;Travis Scott","rap;melodic rap;trap"
"Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It)","Lil Yachty;Future;Mike WiLL Made-It","rap"
"Too Comfortable","Future","rap"
"BACKD00R (feat. Kendrick Lamar & Jhené Aiko)","Playboi Carti;Kendrick Lamar;Jhené Aiko","rage rap;hip hop;west coast hip hop;r&b"
"On Sight","Kanye West","rap"
"TRIM (with Future)","Playboi Carti;Future","rage rap;rap"
"King's Rant","Masego",""
"I Gotta","Lil Uzi Vert","melodic rap"
"Freestyle","Lil Baby",""
"Headlines","Drake","rap;hip hop"
"Let It Go","Playboi Carti","rage rap"
"All Girls Are The Same","Juice WRLD","melodic rap;emo rap"
"Ginza","J Balvin","reggaeton;latin"
"Location","Playboi Carti","rage rap"
"Going Schitz","Ken Carson","rage rap"
"Turn it up","PinkPantheress","bedroom pop"
"Nice to meet you (feat. Central Cee)","PinkPantheress;Central Cee","bedroom pop;uk drill;drill;grime"
"Old Money","Playboi Carti","rage rap"
"Succubus","Ken Carson","rage rap"
"Sing About Me, I'm Dying Of Thirst","Kendrick Lamar","hip hop;west coast hip hop"
"Look At Me!","XXXTENTACION","emo rap"
"CARNIVAL","¥$;Kanye West;Ty Dolla $ign","rap"
"Stop Breathing","Playboi Carti","rage rap"
"YuNg BrAtZ","XXXTENTACION","emo rap"
"Wet Dreamz","J. Cole","rap"
"Pain 1993 (with Playboi Carti)","Drake;Playboi Carti","rap;hip hop;rage rap"
"Crazy Story, Pt. 3","King Von","drill"
"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert;Oh Wonder","melodic rap"
"FACK","Eminem","rap;hip hop"
"NEVEREVER","Destroy Lonely","rage rap"
"Lo Mein","Lil Uzi Vert","melodic rap"
"Tweaker","GELO",""
"WHARF TALK (feat. A$AP Rocky)","Tyler, The Creator;A$AP Rocky","rap"
"Show Me Love","WizTheMc;bees & honey",""
"Follow God","Kanye West","rap"
"My Shit","A Boogie Wit da Hoodie","melodic rap"
"Touch The Sky","Kanye West;Lupe Fiasco","rap"
"Every Step","D.O.D",""
"Kuchh Khaas (From ""Fashion"")","Mohit Chauhan;Neha Bhasin","bollywood;hindi pop;sufi;desi;telugu pop;tollywood"
"Hey Shona","Vishal-Shekhar;Shaan;Sunidhi Chauhan;Javed Akhtar","bollywood;desi;hindi pop;bangla pop;sufi"
"Drugs You Should Try It","Travis Scott","rap"
"Wake Up in the Sky","Gucci Mane;Bruno Mars;Kodak Black","southern hip hop;rap;trap"
"NEW DROP","Don Toliver",""
"Push Ups","Drake","rap;hip hop"
"Fold","Ken Carson","rage rap"
"Of Course We Ghetto Flowers (feat. Playboi Carti & Offset)","Lil Uzi Vert;Playboi Carti;Offset","melodic rap;rage rap"
"White Ferrari","Frank Ocean",""
"Everybody Dies In Their Nightmares","XXXTENTACION","emo rap"
"MUNYUN","Playboi Carti","rage rap"
"Love Hurts (feat. Travis Scott)","Playboi Carti;Travis Scott","rage rap;rap"
"Savior","Kendrick Lamar;Baby Keem;Sam Dew","hip hop;west coast hip hop"
"Endless Fashion (feat. Nicki Minaj)","Lil Uzi Vert;Nicki Minaj","melodic rap"
"Unlock It (feat. Playboi Carti)","ABRA;Playboi Carti;Boys Noize","alternative r&b;rage rap;electro house"
"L$D","A$AP Rocky","rap"
"Pain","PinkPantheress","bedroom pop"
"Flooded The Face","Lil Uzi Vert","melodic rap"
"Apple Pie","Travis Scott","rap"
"Watch This - ARIZONATEARS Pluggnb Remix","Lil Uzi Vert;sped up nightcore;ARIZONATEARS","melodic rap;nightcore"
"MIDDLE CHILD","J. Cole","rap"
"GOOD CREDIT (with Kendrick Lamar)","Playboi Carti;Kendrick Lamar","rage rap;hip hop;west coast hip hop"
"WALK","Playboi Carti","rage rap"
"Many Men (Wish Death)","50 Cent","east coast hip hop"
"Hate Me","Lil Yachty;ian",""
"Khuda Jaane","Vishal-Shekhar;KK;Shilpa Rao;Anvita Dutt Guptan","bollywood;desi;hindi pop"
"Die Hard","Kendrick Lamar;Blxst;Amanda Reifer","hip hop;west coast hip hop"
"Truth Hurts","Lizzo",""
"MDMA (feat. Destroy Lonely)","Ken Carson;Destroy Lonely","rage rap"
"Secure The Bag","Lil Uzi Vert","melodic rap"
"CRANK","Playboi Carti","rage rap"
"The Percocet & Stripper Joint","Future","rap"
"tv off (feat. lefty gunplay)","Kendrick Lamar;Lefty Gunplay","hip hop;west coast hip hop;mexican hip hop"
"Focus (feat. 21 Savage)","Bazzi;21 Savage",""
"TURNINUP","Destroy Lonely","rage rap"
"I Took A Pill In Ibiza - Seeb Remix","Mike Posner;Seeb",""
"Blow My High (Members Only)","Kendrick Lamar","hip hop;west coast hip hop"
"Days Come and Go","Lil Uzi Vert","melodic rap"
"r - Cali","A$AP Rocky","rap"
"Xanny Family","Future","rap"
"We Don't Care","Kanye West","rap"
"Kisses (feat. bbyclose)","BL3SS;CamrinWatsin;bbyclose",""
"Nakamura","Lil Uzi Vert","melodic rap"
"Boy's a liar Pt. 2","PinkPantheress;Ice Spice","bedroom pop"
"HIGHS AND LOWS","astral;void",""
"Massive","Drake","rap;hip hop"
"i need u","Ken Carson","rage rap"
"Golden Wind","mol$ archive;MC Virgins","meme rap;anime;anime rap"
"Riot","XXXTENTACION","emo rap"
"Magic Johnson","ian",""
"Bane","Destroy Lonely","rage rap"
"Wicked","Future","rap"
"Baby Are You Home","Lil Uzi Vert","melodic rap"
"Bean (Kobe) [feat. Chief Keef]","Lil Uzi Vert;Chief Keef","melodic rap;drill"
"No Limit","G-Eazy;A$AP Rocky;Cardi B","rap"
"Just Wanna Rock","Lil Uzi Vert","melodic rap"
"Real Sisters","Future","rap"
"United In Grief","Kendrick Lamar","hip hop;west coast hip hop"
"K-POP","Travis Scott;Bad Bunny;The Weeknd","rap;reggaeton;trap latino;urbano latino;latin"
"All Alone","Lil Uzi Vert","melodic rap"
"The Hillbillies","Baby Keem;Kendrick Lamar","hip hop;west coast hip hop"
"Poetic Justice","Kendrick Lamar;Drake","hip hop;west coast hip hop;rap"
"Trap Queen","Fetty Wap",""
"Long Time - Intro","Playboi Carti","rage rap"
"Mr. Right Now (feat. Drake)","21 Savage;Metro Boomin;Drake","rap;hip hop"
"Go2DaMoon (feat. Kanye West)","Playboi Carti;Kanye West","rage rap;rap"
"Place","Playboi Carti","rage rap"
"WAKE UP F1LTHY (with Travis Scott)","Playboi Carti;Travis Scott","rage rap;rap"
"OPM BABI","Playboi Carti","rage rap"
"4K","El Alfa;Darell;Noriel","dembow;urbano latino;latin;reggaeton;trap latino;trap"
"You Was Right","Lil Uzi Vert","melodic rap"
"PLUTOSKI","Future","rap"
"The Difference","Flume;Toro y Moi","future bass;chillwave"
"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd;Playboi Carti;Madonna","rage rap"
"overseas","Ken Carson","rage rap"
"My Collection","Future","rap"
"Show of Hands","Future;Metro Boomin;A$AP Rocky","rap"
"2 Lil Shorty","Don Toliver",""
"Poke It Out (with Nicki Minaj)","Playboi Carti;Nicki Minaj","rage rap"
"Bust Me","Lil Uzi Vert","melodic rap"
"HUMBLE.","Kendrick Lamar","hip hop;west coast hip hop"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky;Skepta","rap;grime"
"Right Now Now","Wajid;Sunidhi Chauhan;Suzanne D'Mello","bollywood;desi;hindi pop"
"Secrets","A Boogie Wit da Hoodie","melodic rap"
"Mockingbird","Eminem","rap;hip hop"
"DIFFERENT DAY","Playboi Carti","rage rap"
"F o r C e r t a i n","PARTYNEXTDOOR","r&b"
"Silent Hill","Kendrick Lamar;Kodak Black","hip hop;west coast hip hop"
"Lotus","Lil Uzi Vert","melodic rap"
"Ghost Town","Kanye West;PARTYNEXTDOOR","rap;r&b"
"P power (feat. Drake)","Gunna;Drake","melodic rap;rap;hip hop"
"Rich Baby Daddy (feat. Sexyy Red & SZA)","Drake;Sexyy Red;SZA","rap;hip hop;r&b"
"BAD!","XXXTENTACION","emo rap"
"Fighting My Demons","Ken Carson","rage rap"
